,missing_%,outlier_%,duplicates_%,noise_level,drift_score,leakage_score,new_r2,new_rmse,quality_score,quality_labels
0,0.20332985771260847,0.1015936389374496,0.022054242313800355,0.2480279910680171,0.22525879231465118,0.0013962961657000173,0.447709145348525,1670806.0693144293,75.39830452426081,Moderate
1,0.0569966524562755,0.05479346535935845,0.1420228692028578,0.03612385601314664,0.47341553570086875,0.026056383884246657,-0.017040723085689047,2267312.0160765504,-2.8698132300339374,Poor
2,0.18692128824152213,0.003157789005783807,0.19730036606172902,0.05798714796061611,0.18193566134961142,0.026860444347488178,0.407813359120308,1730100.856968231,68.67949015443541,Moderate
3,0.27427919218657876,0.10322238174563668,0.14845792922974718,0.17343752951791325,0.24617976445382989,0.13663243722942175,0.2911769793086503,1892827.4486390264,49.03685972123136,Poor
4,0.22718025487585594,0.06769089937633198,0.0072956135573534866,0.2757149529679058,0.24414427925773552,0.1597805858040382,0.4111477289957014,1725223.2228090616,69.24102846088596,Moderate
5,0.12147063492360943,0.10938284365313966,0.032061489144463766,0.1455313051229213,0.004839269504953503,0.24792421226740677,0.5598872625735094,1491502.848686476,94.29012286516901,Good
6,0.015179034855862049,0.017642477473485286,0.11976327748539828,0.047345707887783736,0.02457265830329347,0.07043506999502121,0.5162552423198127,1563688.5428379828,86.94209259981454,Good
7,0.2073228023539003,0.11722272955007836,0.10383087598525068,0.28998542586067366,0.1401037454166561,0.2671659583228315,0.42427198255779963,1705889.125048584,71.45127249322168,Moderate
8,0.051351742509296194,0.15300128074388217,0.04390432770692692,0.17457279596400738,0.1912119375496088,0.2642483792570708,0.3351331071853152,1833198.411032137,56.43947266712536,Moderate
9,0.16284502776581414,0.07083357436707942,0.13956095903544846,0.06137443059342404,0.05905474855443421,0.28708011207828943,0.46409665574080006,1645831.4308632065,78.15811077746875,Moderate
10,0.2222177161370496,0.04036537649754031,0.08085285616659338,0.2806841126667821,0.26635572367807747,0.09323973720134882,0.3947984492047044,1749009.362953975,66.48766058971077,Moderate
11,0.1596518314700076,0.04647025378453998,0.19399877834856316,0.017946183439909755,0.013188310815151427,0.2545125419864066,0.42152473334373863,1709954.3476642154,70.9886106624374,Moderate
12,0.06457940750803866,0.13457832263703248,0.02790729595595816,0.14754710981319244,0.06798704724410026,0.0748029490662781,0.4900409779375797,1605497.9600670368,82.5273713252861,Good
13,0.153134943382899,0.07640680963933083,0.1401207019817546,0.03766510898915708,0.43639040220156844,0.2739491444123978,-0.0023226049633944257,2250846.511049066,-0.3911478649453268,Poor
14,0.23736163164817056,0.1354077936815947,0.15992807180906554,0.2864121335931142,0.21144076729396616,0.18265442741165933,0.4013886748081741,1739460.5466777836,67.59751470391961,Moderate
15,0.070527074669825,0.18960234831934542,0.08481244176724566,0.2601450714253271,0.041343219096908634,0.25747839841957315,0.48463480547848525,1613985.6189687208,81.61692256269903,Good
16,0.19574297895475443,0.12371508643832525,0.08396089908966148,0.006155806571393696,0.41202933074791603,0.13466935989521095,0.17365653054008412,2043724.813668847,29.245344010328683,Poor
17,0.06644431424061703,0.14215161069675755,0.0349033066944169,0.06677945641628276,0.4932715441507274,0.018141231121068822,0.003684127472167953,2244091.9244217956,0.620440676583623,Poor
18,0.08153990796593708,0.014738944298581847,0.10746913809851122,0.13542079953487537,0.4358673758527245,0.13651316389780915,0.07891710028270116,2157702.0691795717,13.290359647790325,Poor
19,0.299065492628544,0.13381384781749944,0.1482970988678245,0.06568935822984304,0.0771022341577926,0.11096909119236005,0.49162941587692255,1602995.5797297212,82.79487876558024,Good
20,0.04676545613854581,0.029908509936265593,0.052492319040714525,0.2536843128769428,0.2925624419763503,0.23184497905101786,0.2220583859389591,1982967.6083683274,37.39665802930562,Poor
21,0.1616616688672741,0.056143072516214025,0.025556602305458555,0.19335942083521676,0.2235156808495843,0.10306706898167173,0.4810313371551068,1619618.3383775617,81.01006562262445,Good
